Epoch,Train Loss,Val Loss
1,0.7126067280769348,0.7296473383903503
2,0.7143368124961853,0.7289556860923767
3,0.6821632385253906,0.7288440465927124
4,0.7274269461631775,0.729008674621582
5,0.7357685565948486,0.728766679763794
6,0.7069014310836792,0.7291266322135925
7,0.7177830934524536,0.7293199896812439
8,0.7329177260398865,0.7299796342849731
9,0.7114176154136658,0.7299048900604248
10,0.7204421758651733,0.7295511960983276
11,0.7186782956123352,0.7297388911247253
12,0.729697048664093,0.7301145792007446
13,0.7271088361740112,0.7300187945365906
14,0.7190341949462891,0.7300664782524109
15,0.7320780158042908,0.7299241423606873
16,0.7344505190849304,0.7303314208984375
17,0.7291263341903687,0.7308281660079956
18,0.7140867710113525,0.7307866811752319
19,0.7426813244819641,0.7313835024833679
20,0.7108415365219116,0.7314683794975281
21,0.7284568548202515,0.7318915128707886
22,0.7132169604301453,0.7317241430282593
23,0.7277239561080933,0.7311702966690063
24,0.6975423693656921,0.7308956980705261
25,0.7288302779197693,0.7309920191764832
26,0.7426306009292603,0.7313668727874756
27,0.7248958349227905,0.7310625910758972
28,0.7408945560455322,0.7308337092399597
29,0.73261958360672,0.7310856580734253
30,0.7333741188049316,0.7313081622123718
31,0.7373843789100647,0.7308588027954102
32,0.6892585158348083,0.7300306558609009
33,0.7202562093734741,0.7307085394859314
34,0.7283119559288025,0.7318887710571289
35,0.7390711307525635,0.7321338057518005
36,0.734295129776001,0.7321330308914185
37,0.7260554432868958,0.7326568365097046
38,0.7145671248435974,0.7327712774276733
39,0.7229584455490112,0.7332512140274048
40,0.7337606549263,0.7330149412155151
41,0.7367228269577026,0.7338471412658691
42,0.7203640937805176,0.7337705492973328
43,0.7067585587501526,0.7332221269607544
44,0.7062947750091553,0.7326955795288086
45,0.724982738494873,0.7325549125671387
46,0.7162085771560669,0.7316946387290955
47,0.72332763671875,0.7316243648529053
48,0.7220656275749207,0.7308483123779297
49,0.7001335024833679,0.7301117777824402
50,0.7271404266357422,0.7305148839950562
51,0.723992109298706,0.7296997308731079
52,0.7141583561897278,0.7299579381942749
53,0.6907749176025391,0.7294254302978516
54,0.6974042057991028,0.7299418449401855
55,0.7274095416069031,0.7311215400695801
56,0.732761800289154,0.7319760322570801
57,0.7293006777763367,0.7324913740158081
58,0.7257952690124512,0.732402503490448
59,0.7328988909721375,0.7329027056694031
60,0.7144646048545837,0.7331615686416626
61,0.7090182304382324,0.7328469157218933
62,0.7486791610717773,0.7323681712150574
63,0.736228346824646,0.732210099697113
64,0.7263156175613403,0.7324531078338623
65,0.7136002779006958,0.73274827003479
66,0.7059008479118347,0.7325100898742676
67,0.731978178024292,0.7316083908081055
68,0.7166826725006104,0.7316300272941589
69,0.742263674736023,0.7320749163627625
70,0.7263000011444092,0.7322378158569336
71,0.7172660231590271,0.7308076620101929
72,0.74250328540802,0.7318174839019775
73,0.7184097766876221,0.7311927676200867
74,0.69780033826828,0.7302714586257935
75,0.6986638903617859,0.7295640707015991
76,0.7404414415359497,0.7303560972213745
77,0.7200796604156494,0.7308487892150879
78,0.7331825494766235,0.7312482595443726
79,0.7283307909965515,0.7310456037521362
80,0.7201027870178223,0.7311939597129822
81,0.7298598289489746,0.7313162088394165
82,0.7167987823486328,0.7314828634262085
83,0.7106435298919678,0.7310965061187744
84,0.7315430641174316,0.7309674620628357
85,0.7531369924545288,0.7319890856742859
86,0.7127341032028198,0.7315470576286316
87,0.734265923500061,0.7312417030334473
88,0.7230595350265503,0.732400119304657
89,0.7053925395011902,0.7319273948669434
90,0.7070881128311157,0.7318859100341797
91,0.7084379196166992,0.7318500876426697
92,0.7175183296203613,0.7320224046707153
93,0.737160325050354,0.7321678400039673
94,0.734830379486084,0.7323944568634033
95,0.7143068313598633,0.7320036888122559
96,0.7312471866607666,0.7322861552238464
97,0.7140480279922485,0.7316624522209167
98,0.7082415223121643,0.7308571338653564
99,0.7376832962036133,0.7304514646530151
100,0.7292024493217468,0.7301544547080994
