Epoch,Train Loss,Val Loss
1,0.7496507167816162,0.7397845983505249
2,0.7411383390426636,0.7393292784690857
3,0.7287684679031372,0.7396994829177856
4,0.7354915738105774,0.7394229173660278
5,0.7411118149757385,0.73930823802948
6,0.7226779460906982,0.7390713691711426
7,0.7669347524642944,0.7398106455802917
8,0.7390583753585815,0.7402682304382324
9,0.7146139740943909,0.7396193742752075
10,0.7336411476135254,0.7398771047592163
11,0.7380452156066895,0.7402541041374207
12,0.7539563179016113,0.7407121658325195
13,0.7471030950546265,0.7410714030265808
14,0.7212609648704529,0.7410222887992859
15,0.7394990921020508,0.7415069937705994
16,0.7412515878677368,0.7420169711112976
17,0.7437227368354797,0.742507815361023
18,0.7190008163452148,0.7421784400939941
19,0.7449564337730408,0.7424511909484863
20,0.7484999299049377,0.7422801852226257
21,0.7393417358398438,0.7424776554107666
22,0.7332237362861633,0.7425192594528198
23,0.7422515153884888,0.7426460981369019
24,0.7432647347450256,0.7426609992980957
25,0.7508680820465088,0.7432289123535156
26,0.7148051857948303,0.7431897521018982
27,0.7233595848083496,0.743536651134491
28,0.734319806098938,0.7434395551681519
29,0.744098424911499,0.7437433004379272
30,0.7246673703193665,0.7437375783920288
31,0.726728081703186,0.7429033517837524
32,0.7333256006240845,0.7432820796966553
33,0.7470722794532776,0.7433518171310425
34,0.7268552780151367,0.7436561584472656
35,0.7438406944274902,0.7437901496887207
36,0.7284246683120728,0.7442452311515808
37,0.7340143918991089,0.7442772388458252
38,0.7383787035942078,0.744214653968811
39,0.7340245246887207,0.7440115213394165
40,0.7454167604446411,0.7441884875297546
41,0.7184189558029175,0.7443193197250366
42,0.7378306984901428,0.7446834444999695
43,0.737282395362854,0.7452349662780762
44,0.74922776222229,0.7453336119651794
45,0.7378177642822266,0.7454622983932495
46,0.7348602414131165,0.7450063228607178
47,0.7185362577438354,0.744756817817688
48,0.7331497669219971,0.7443708181381226
49,0.7511414885520935,0.7444102764129639
50,0.7171863913536072,0.7444745898246765
51,0.7065978646278381,0.743798017501831
52,0.7475308179855347,0.7437093257904053
53,0.7267563939094543,0.744314432144165
54,0.7418377995491028,0.7442812919616699
55,0.7498953938484192,0.7446808218955994
56,0.7423965930938721,0.7439049482345581
57,0.7496727108955383,0.7441205978393555
58,0.7221270799636841,0.7439650297164917
59,0.7524070739746094,0.7443176507949829
60,0.7467190027236938,0.7447924613952637
61,0.7294731140136719,0.7448782920837402
62,0.7137642502784729,0.7444233894348145
63,0.748455286026001,0.7445661425590515
64,0.746444582939148,0.7449879050254822
65,0.7456387281417847,0.7453302145004272
66,0.7103552222251892,0.7453083992004395
67,0.7177332043647766,0.7439913153648376
68,0.7171221375465393,0.7429782748222351
69,0.7284315228462219,0.7432090640068054
70,0.7367773652076721,0.743050754070282
71,0.7346053123474121,0.7434043884277344
72,0.7382213473320007,0.7435657978057861
73,0.7327479124069214,0.7440738677978516
74,0.737930417060852,0.7448524236679077
75,0.7193400859832764,0.7447640299797058
76,0.7524711489677429,0.7450991868972778
77,0.7015965580940247,0.7447175979614258
78,0.739727795124054,0.7448737025260925
79,0.722825288772583,0.7452990412712097
80,0.7285332679748535,0.744843602180481
81,0.7286306023597717,0.7453407645225525
82,0.7369003295898438,0.744326114654541
83,0.74350905418396,0.7446813583374023
84,0.7080431580543518,0.7447835803031921
85,0.7113434672355652,0.7447967529296875
86,0.7157857418060303,0.744015097618103
87,0.7391156554222107,0.7441304922103882
88,0.7131645083427429,0.7437175512313843
89,0.7467765212059021,0.7440206408500671
90,0.7303229570388794,0.7439267039299011
91,0.7284479737281799,0.7440885901451111
92,0.7485098242759705,0.7443526983261108
93,0.727064847946167,0.7441132068634033
94,0.7497806549072266,0.7447130084037781
95,0.7426501512527466,0.7452383041381836
96,0.7199230790138245,0.7446322441101074
97,0.7194420695304871,0.7448069453239441
98,0.7358835339546204,0.7439888715744019
99,0.745631992816925,0.7438879013061523
100,0.7340856194496155,0.7442173361778259
